Tool,CurrentOccupation,HighestLevelOfStudy,HighestSTEMLevelOfStudy,BgScore (out of 8),BgQ1Score (out of 1),BgQ2Score (out of 4),BgQ3Score (out of 1),BgQ4Score (out of 2),BgDuration (sec),BgHowWasTheTask,BgHowWellDoYouThinkYouDid,BgHowEasyWasTheTool,ToolScore (out of 13),ToolQ1Score (out of 1),ToolQ2Score (out of 5),ToolQ3Score (out of 5),ToolQ4Score (out of 2),ToolDuration (sec),ToolQ1Duration,ToolQ2Duration,ToolQ3Duration,ToolQ4Duration,ToolHowWasTheTask,ToolHowWellDoYouThinkYouDid,ToolHowEasyWasTheTool,,
Voyager,Student,BACHELORS,BACHELORS,6,1,2,1,2,435.9,1,1,2,7,1,3,1,2,383.5,31.7,122.6,53.3,175.9,2,3,3,,
Voyager,Student,MASTERS_OR_HIGHER,MASTERS_OR_HIGHER,3,1,1,0,1,290.1,2,3,2,4,1,1,1,1,599.8,114.1,117.5,84.3,283.9,4,4,4,,
Voyager,Researcher,BACHELORS,BACHELORS,4,1,1,1,1,249.1,2,3,2,11,1,5,3,2,502.8,53.6,70.2,204.8,174.2,2,3,3,,
Voyager,Engineer,MASTERS_OR_HIGHER,MASTERS_OR_HIGHER,6,1,3,1,1,305.7,2,3,3,13,1,5,5,2,208.5,41.4,77.1,30.4,59.6,3,3,4,,
Voyager,Engineer,MASTERS_OR_HIGHER,MASTERS_OR_HIGHER,5,1,1,1,2,421.0,2,2,2,5,1,1,1,2,414.7,82.2,165.2,88.0,79.4,3,3,1,,
Voyager,Other Professional Occupation,BACHELORS,BACHELORS,4,1,0,1,2,1555.1,2,2,2,3,1,0,1,1,538.8,30.3,340.5,92.7,75.4,2,2,2,,
Voyager,Engineer,MASTERS_OR_HIGHER,MASTERS_OR_HIGHER,4,1,0,1,2,271.8,2,2,2,6,1,2,1,2,427.0,40.6,191.8,134.5,60.1,2,3,2,,
Voyager,Researcher,MASTERS_OR_HIGHER,MASTERS_OR_HIGHER,6,1,2,1,2,165.3,3,3,4,7,1,2,2,2,447.6,248.5,108.5,41.1,49.6,2,3,3,,
Voyager,Social Scientist and Related Worker,BACHELORS,A_LEVEL,6,1,3,1,1,323.9,2,2,2,4,1,1,0,2,428.7,60.5,115.0,104.1,149.1,1,2,2,,
Voyager,Student,MASTERS_OR_HIGHER,MASTERS_OR_HIGHER,5,1,2,1,1,812.7,1,2,2,7,1,2,3,1,450.4,158.7,102.7,78.3,110.8,3,3,3,,
Voyager,"Computer Specialist, Mathematical Science",BACHELORS,A_LEVEL,7,1,3,1,2,965.0,2,3,1,6,1,1,2,2,1037.8,172.0,448.0,273.3,144.6,2,3,1,,
Voyager,Student,A_LEVEL,A_LEVEL,7,1,3,1,2,96.8,1,3,3,9,1,3,3,2,863.4,242.1,128.2,193.2,299.9,2,3,4,,
Voyager,"Computer Specialist, Mathematical Science",MASTERS_OR_HIGHER,MASTERS_OR_HIGHER,4,1,2,1,0,187.9,2,2,2,6,1,2,1,2,390.4,195.5,119.6,37.8,37.4,2,2,2,,
Voyager,"Other Business, Executive, Management, Financial Occupation",MASTERS_OR_HIGHER,MASTERS_OR_HIGHER,6,1,2,1,2,364.8,2,2,2,12,1,4,5,2,289.9,84.0,74.0,75.4,56.5,3,3,4,,
Voyager,Engineer,MASTERS_OR_HIGHER,MASTERS_OR_HIGHER,7,1,3,1,2,420.4,1,2,1,12,1,4,5,2,741.8,130.7,430.8,76.8,103.5,2,2,2,,
Voyager,Engineer,MASTERS_OR_HIGHER,MASTERS_OR_HIGHER,2,1,1,0,0,477.4,2,2,4,7,1,3,1,2,294.3,77.6,107.4,43.8,65.5,3,3,3,,
ClaferMoo,Student,A_LEVEL,A_LEVEL,8,1,4,1,2,338.1,2,2,3,5,1,1,2,1,518.3,137.3,83.3,142.5,155.3,2,2,1,,
ClaferMoo,Student,A_LEVEL,A_LEVEL,5,1,3,1,0,317.5,2,1,1,0,0,0,0,0,506.1,222.9,141.7,61.8,79.6,0,0,0,,
ClaferMoo,Chief Executive,MASTERS_OR_HIGHER,MASTERS_OR_HIGHER,5,1,2,1,1,400.3,2,4,4,4,1,1,1,1,1024.9,338.5,234.1,165.4,287.0,2,2,2,,
ClaferMoo,"Computer Specialist, Mathematical Science",BACHELORS,BACHELORS,4,1,1,1,1,194.8,2,3,2,9,1,1,5,2,768.0,119.6,153.0,152.6,342.7,1,2,0,,
ClaferMoo,General and Operations Manager,BACHELORS,A_LEVEL,5,1,2,1,1,344.4,2,3,2,0,0,0,0,0,1321.8,1261.0,17.9,7.2,35.7,0,0,1,,
ClaferMoo,Engineer,MASTERS_OR_HIGHER,MASTERS_OR_HIGHER,4,1,1,1,1,276.6,2,2,1,5,1,1,1,2,406.9,156.2,99.0,54.0,97.7,2,3,2,,
ClaferMoo,"Computer Specialist, Mathematical Science",GCSE,GCSE,4,1,2,1,0,72.8,2,2,2,6,1,1,2,2,358.4,107.2,84.2,77.0,90.0,2,3,2,,
ClaferMoo,Student,MASTERS_OR_HIGHER,MASTERS_OR_HIGHER,6,1,2,1,2,238.0,3,3,2,4,1,0,1,2,616.4,136.1,186.9,173.3,120.2,2,3,0,,
ClaferMoo,Engineer,A_LEVEL,A_LEVEL,5,1,2,1,1,268.7,2,3,3,10,1,3,4,2,865.2,226.6,138.5,271.9,228.2,2,3,2,,
ClaferMoo,"Computer Specialist, Mathematical Science",MASTERS_OR_HIGHER,MASTERS_OR_HIGHER,5,1,2,1,1,407.6,2,2,2,7,1,1,3,2,640.4,94.9,181.1,126.3,238.2,2,3,1,,
ClaferMoo,"Life Scientist (e.g., Animal, Food, Soil, or Biological Scientist, Zoologist)",MASTERS_OR_HIGHER,MASTERS_OR_HIGHER,4,1,1,1,1,525.8,2,2,3,4,1,2,1,0,798.9,141.3,383.6,77.8,196.2,0,0,0,,
ClaferMoo,Student,A_LEVEL,A_LEVEL,6,1,3,1,1,286.5,2,3,2,8,1,2,3,2,575.4,104.5,208.4,163.3,99.2,2,4,1,,
ClaferMoo,Researcher,MASTERS_OR_HIGHER,MASTERS_OR_HIGHER,5,1,2,1,1,431.9,3,3,2,6,1,2,2,1,797.8,301.7,79.3,88.3,328.5,3,3,2,,
ClaferMoo,Engineer,MASTERS_OR_HIGHER,MASTERS_OR_HIGHER,3,1,1,0,1,317.9,1,2,1,2,1,0,0,1,481.6,223.4,55.7,119.0,83.5,1,3,2,,
ClaferMoo,Engineer,BACHELORS,BACHELORS,5,1,1,1,2,191.6,2,2,2,5,1,1,1,2,406.1,84.9,60.5,83.5,177.2,1,2,1,,
ClaferMoo,Student,A_LEVEL,A_LEVEL,5,1,2,1,1,210.2,2,2,2,5,1,1,1,2,415.6,86.6,85.9,102.5,140.6,1,3,1,,